mesh_code,mesh_length_mm,mesh_width_mm,web_width_mm,web_thickness_mm,open_area_pct,V1,V2,V3_BASIC,V4,V5,V6,is_standard,taifun
M100,12.5,6,1,1,66.6,0,1,0,0,1,1,0,0
M100_1.5,12.5,6,1.5,1.5,50.0,1,0,0,1,0,1,0,0
M110,16,8,1.5,1.5,62.5,1,0,0,1,0,1,1,1
M200,20,10,2,1,60.0,0,1,0,0,1,1,0,0
M200_1.5,20,10,2,1.5,60.0,1,0,0,1,0,1,0,0
M210,25,16,1.5,1.5,81.2,1,0,0,1,0,1,0,0
M220,25,15,2.5,1.5,66.6,1,0,0,1,0,1,0,0
M230,25,10,2,1,60.0,0,1,0,0,1,1,0,0
M230_1.5,25,10,2,1.5,60.0,1,0,0,1,0,1,0,0
M240,25,16,2,1,75.0,0,1,0,0,1,1,0,0
M240_1.5,25,16,2,1.5,75.0,1,0,0,1,0,1,0,0
M250,28,10,2,1,60.0,0,1,0,0,1,1,0,0
M250_1.5,28,10,2,1.5,60.0,1,0,1,1,0,1,0,0
M260,28,12,2,1,66.6,0,1,0,0,1,1,0,0
M260_1.5,28,12,2,1.5,66.6,1,0,1,1,0,1,1,1
M400,44,12,3,1.5,50.0,1,0,1,1,0,1,1,1
M600,62,20,2.5,1.5,75.0,1,0,0,1,0,1,0,1
M610,62,25,3,2,76.0,1,0,0,1,0,1,0,1
