category,system,max_panel_length_mm,max_panel_width_mm,recommended_max_area_m2
Oda,dur-SOLO RHOMBOS TYP 1,3000,1100,3.0
Oda,dur-SOLO RHOMBOS TYP 2,3000,1100,3.0
Oda,S-OMEGA RHOMBOS,3000,1100,3.0
Oda,S1 RHOMBOS,1800,900,1.2
Oda,S4 RHOMBOS,3000,1100,3.0
Oda,S5 RHOMBOS,3000,1100,3.0
Oda,S5.1 RHOMBOS,3000,1100,3.0
Oda,S5.4 K-BR RHOMBOS,3000,1100,3.0
Oda,S5.6 FH RHOMBOS,2000,1100,2.0
Oda,S5.7 KS-BR RHOMBOS,2000,1100,2.0
Oda,S7 RHOMBOS,3000,1100,3.0
Oda,S7 KS RHOMBOS,2500,1100,2.0
Oda,S10 H RHOMBOS,3000,1100,1.5
Koridor,FS-OMEGA RHOMBOS,3000,1100,3.0
Koridor,FS4.2 RHOMBOS,3000,1100,2.5
Koridor,FS4.4 AS RHOMBOS,3000,1100,2.0
Koridor,FS4.5 KS RHOMBOS,2500,1100,2.0
Koridor,FS4.6 BR RHOMBOS,3000,1100,2.5
Koridor,FS5.2 FH RHOMBOS,3000,1100,2.5
Koridor,FF025 RHOMBOS,3000,1100,2.5
Koridor,FF2025 RHOMBOS,3000,1100,2.5
